CMDLINE C:\Users\PC\AppData\Local\Programs\Python\Python312\python.exe main.py
MEM 2.476562 1714758813.8006
MEM 19.363281 1714758813.9013
MEM 28.367188 1714758814.0019
MEM 34.460938 1714758814.1023
MEM 43.011719 1714758814.2024
MEM 48.273438 1714758814.3026
MEM 51.136719 1714758814.4032
MEM 55.667969 1714758814.5037
MEM 57.250000 1714758814.6040
MEM 59.695312 1714758814.7044
MEM 61.417969 1714758814.8049
MEM 64.011719 1714758814.9054
MEM 66.406250 1714758815.0057
MEM 68.589844 1714758815.1061
MEM 69.300781 1714758815.2063
MEM 69.300781 1714758815.3066
MEM 69.300781 1714758815.4073
MEM 69.300781 1714758815.5078
MEM 69.300781 1714758815.6085
MEM 69.300781 1714758815.7089
MEM 69.300781 1714758815.8096
MEM 69.394531 1714758815.9102
MEM 69.394531 1714758816.0108
MEM 69.394531 1714758816.1117
MEM 69.394531 1714758816.2124
MEM 69.394531 1714758816.3129
MEM 69.394531 1714758816.4135
MEM 69.394531 1714758816.5140
MEM 69.394531 1714758816.6143
MEM 69.394531 1714758816.7148
MEM 69.394531 1714758816.8153
MEM 69.394531 1714758816.9155
MEM 69.394531 1714758817.0163
MEM 69.394531 1714758817.1166
MEM 69.394531 1714758817.2172
MEM 69.394531 1714758817.3176
MEM 69.394531 1714758817.4178
MEM 69.394531 1714758817.5181
MEM 69.394531 1714758817.6187
MEM 69.394531 1714758817.7194
MEM 69.394531 1714758817.8197
MEM 69.394531 1714758817.9201
MEM 69.394531 1714758818.0207
MEM 69.394531 1714758818.1210
MEM 69.394531 1714758818.2217
MEM 69.394531 1714758818.3222
MEM 69.394531 1714758818.4229
MEM 69.394531 1714758818.5234
MEM 69.394531 1714758818.6239
MEM 69.394531 1714758818.7245
MEM 69.394531 1714758818.8257
MEM 69.394531 1714758818.9259
MEM 69.394531 1714758819.0264
MEM 69.394531 1714758819.1272
MEM 69.394531 1714758819.2281
MEM 69.394531 1714758819.3288
MEM 69.394531 1714758819.4292
MEM 69.363281 1714758819.5299
MEM 67.812500 1714758819.6305
